message_id,channel_name,image_path,detected_objects_count,detected_classes,top_detected_class,top_confidence,image_category,all_confidences
21909,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21909.jpg,0,,,0.0,other,{}
22555,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22555.jpg,0,,,0.0,other,{}
22233,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22233.jpg,2,"39,73",bottle,0.3064383268356323,product_display,"{39: 0.3064383268356323, 73: 0.2673894762992859}"
22227,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22227.jpg,2,"39,60",bottle,0.9044641256332397,product_display,"{39: 0.9044641256332397, 60: 0.3380425274372101}"
21048,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21048.jpg,0,,,0.0,other,{}
22541,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22541.jpg,0,,,0.0,other,{}
21060,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21060.jpg,2,"0,11",person,0.678920328617096,lifestyle,"{0: 0.678920328617096, 11: 0.271867960691452}"
22569,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22569.jpg,0,,,0.0,other,{}
21706,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21706.jpg,1,12,parking meter,0.4189504384994507,other,{12: 0.4189504384994507}
21712,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21712.jpg,0,,,0.0,other,{}
21074,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21074.jpg,0,,,0.0,other,{}
21713,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21713.jpg,4,"52,52,52,52",hot dog,0.5860720276832581,other,{52: 0.25144100189208984}
21075,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21075.jpg,3,"0,0,39",person,0.7900387644767761,promotional,"{0: 0.3781144320964813, 39: 0.35652440786361694}"
22568,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22568.jpg,1,39,bottle,0.9318892359733582,product_display,{39: 0.9318892359733582}
21061,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21061.jpg,2,"39,60",bottle,0.4841192960739136,product_display,"{39: 0.4841192960739136, 60: 0.29485949873924255}"
21707,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21707.jpg,1,53,pizza,0.6298407912254333,other,{53: 0.6298407912254333}
22226,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22226.jpg,3,"0,0,39",person,0.7900387644767761,promotional,"{0: 0.3781144320964813, 39: 0.35652440786361694}"
22540,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22540.jpg,1,39,bottle,0.5016928315162659,product_display,{39: 0.5016928315162659}
21049,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21049.jpg,1,39,bottle,0.29042696952819824,product_display,{39: 0.29042696952819824}
22554,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22554.jpg,0,,,0.0,other,{}
22232,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22232.jpg,1,39,bottle,0.7326310276985168,product_display,{39: 0.7326310276985168}
21908,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21908.jpg,0,,,0.0,other,{}
21934,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21934.jpg,1,39,bottle,0.38477739691734314,product_display,{39: 0.38477739691734314}
22583,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22583.jpg,0,,,0.0,other,{}
22597,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22597.jpg,4,"52,52,52,52",hot dog,0.5860720276832581,other,{52: 0.25144100189208984}
21920,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21920.jpg,0,,,0.0,other,{}
21277,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21277.jpg,0,,,0.0,other,{}
21511,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21511.jpg,0,,,0.0,other,{}
22018,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22018.jpg,1,67,cell phone,0.4634685218334198,other,{67: 0.4634685218334198}
21505,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21505.jpg,2,"39,75",bottle,0.7860796451568604,product_display,"{39: 0.7860796451568604, 75: 0.4042931795120239}"
21263,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21263.jpg,0,,,0.0,other,{}
22742,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22742.jpg,0,,,0.0,other,{}
20633,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20633.jpg,1,41,cup,0.5256265997886658,product_display,{41: 0.5256265997886658}
20627,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20627.jpg,0,,,0.0,other,{}
21539,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21539.jpg,2,"39,39",bottle,0.32016775012016296,product_display,{39: 0.29760217666625977}
22030,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22030.jpg,1,39,bottle,0.7326310276985168,product_display,{39: 0.7326310276985168}
22756,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22756.jpg,1,72,refrigerator,0.4999719262123108,other,{72: 0.4999719262123108}
20814,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20814.jpg,0,,,0.0,other,{}
20800,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20800.jpg,0,,,0.0,other,{}
22781,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22781.jpg,0,,,0.0,other,{}
21288,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21288.jpg,0,,,0.0,other,{}
20828,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20828.jpg,0,,,0.0,other,{}
22795,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22795.jpg,25,"39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39",bottle,0.6552401185035706,product_display,{39: 0.2851354479789734}
21303,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21303.jpg,0,,,0.0,other,{}
21465,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21465.jpg,2,"0,11",person,0.678920328617096,lifestyle,"{0: 0.678920328617096, 11: 0.271867960691452}"
22178,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22178.jpg,0,,,0.0,other,{}
21471,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21471.jpg,0,,,0.0,other,{}
21317,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21317.jpg,0,,,0.0,other,{}
22636,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22636.jpg,2,"0,72",person,0.8406550288200378,lifestyle,"{0: 0.8406550288200378, 72: 0.682590901851654}"
22150,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22150.jpg,0,,,0.0,other,{}
21459,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/21459.jpg,0,,,0.0,other,{}
20747,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20747.jpg,0,,,0.0,other,{}
20753,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20753.jpg,0,,,0.0,other,{}
22144,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22144.jpg,2,"0,73",person,0.4573282301425934,lifestyle,"{0: 0.4573282301425934, 73: 0.31845182180404663}"
22622,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22622.jpg,0,,,0.0,other,{}
22811,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22811.jpg,0,,,0.0,other,{}
20960,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20960.jpg,1,72,refrigerator,0.457951158285141,other,{72: 0.457951158285141}
20974,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20974.jpg,0,,,0.0,other,{}
22805,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/22805.jpg,0,,,0.0,other,{}
20784,lobelia4cosmetics,data/raw/images/lobelia4cosmetics/20784.jpg,3,"41,60,41",cup,0.41193896532058716,product_display,"{41: 0.28171512484550476, 60: 0.32070791721343994}"
